****************************A06 第 1 轮训练开始****************************
epoch: 112, train_Loss: 1.4778, train_acc: 0.2615
****************************A06 第 113 轮训练开始****************************
epoch: 113, train_Loss: 1.3914, train_acc: 0.2500
****************************A06 第 114 轮训练开始****************************
epoch: 114, train_Loss: 1.3411, train_acc: 0.2500
****************************A06 第 115 轮训练开始****************************
epoch: 115, train_Loss: 1.3308, train_acc: 0.2538
****************************A06 第 116 轮训练开始****************************
epoch: 116, train_Loss: 1.4266, train_acc: 0.2462
****************************A06 第 117 轮训练开始****************************
epoch: 117, train_Loss: 1.3929, train_acc: 0.2500
****************************A06 第 118 轮训练开始****************************
epoch: 118, train_Loss: 1.3922, train_acc: 0.2538
****************************A06 第 119 轮训练开始****************************
epoch: 119, train_Loss: 1.3567, train_acc: 0.2538
****************************A06 第 120 轮训练开始****************************
epoch: 120, train_Loss: 1.3653, train_acc: 0.2577
****************************A06 第 121 轮训练开始****************************
epoch: 121, train_Loss: 1.3429, train_acc: 0.2577
****************************A06 第 122 轮训练开始****************************
epoch: 122, train_Loss: 1.4742, train_acc: 0.2385
****************************A06 第 123 轮训练开始****************************
epoch: 123, train_Loss: 1.3617, train_acc: 0.2423
****************************A06 第 124 轮训练开始****************************
epoch: 124, train_Loss: 1.3889, train_acc: 0.2538
****************************A06 第 125 轮训练开始****************************
epoch: 125, train_Loss: 1.3399, train_acc: 0.2577
****************************A06 第 126 轮训练开始****************************
epoch: 126, train_Loss: 1.4481, train_acc: 0.2538
****************************A06 第 127 轮训练开始****************************
epoch: 127, train_Loss: 1.3374, train_acc: 0.2538
****************************A06 第 128 轮训练开始****************************
epoch: 128, train_Loss: 1.3949, train_acc: 0.2500
****************************A06 第 129 轮训练开始****************************
epoch: 129, train_Loss: 1.3466, train_acc: 0.2615
****************************A06 第 130 轮训练开始****************************
epoch: 130, train_Loss: 1.4402, train_acc: 0.2538
****************************A06 第 131 轮训练开始****************************
epoch: 131, train_Loss: 1.3605, train_acc: 0.2500
****************************A06 第 132 轮训练开始****************************
epoch: 132, train_Loss: 1.3109, train_acc: 0.2462
****************************A06 第 133 轮训练开始****************************
epoch: 133, train_Loss: 1.4395, train_acc: 0.2500
****************************A06 第 134 轮训练开始****************************
epoch: 134, train_Loss: 1.4340, train_acc: 0.2462
****************************A06 第 135 轮训练开始****************************
epoch: 135, train_Loss: 1.4474, train_acc: 0.2615
****************************A06 第 136 轮训练开始****************************
epoch: 136, train_Loss: 1.3696, train_acc: 0.2308
****************************A06 第 137 轮训练开始****************************
epoch: 137, train_Loss: 1.4700, train_acc: 0.2500
****************************A06 第 138 轮训练开始****************************
epoch: 138, train_Loss: 1.4272, train_acc: 0.2462
****************************A06 第 139 轮训练开始****************************
epoch: 139, train_Loss: 1.3376, train_acc: 0.2500
****************************A06 第 140 轮训练开始****************************
epoch: 140, train_Loss: 1.3353, train_acc: 0.2538
****************************A06 第 141 轮训练开始****************************
epoch: 141, train_Loss: 1.3391, train_acc: 0.2423
****************************A06 第 142 轮训练开始****************************
epoch: 142, train_Loss: 1.3950, train_acc: 0.2423
****************************A06 第 143 轮训练开始****************************
epoch: 143, train_Loss: 1.4501, train_acc: 0.2423
****************************A06 第 144 轮训练开始****************************
epoch: 144, train_Loss: 1.3945, train_acc: 0.2462
****************************A06 第 145 轮训练开始****************************
epoch: 145, train_Loss: 1.3928, train_acc: 0.2577
****************************A06 第 146 轮训练开始****************************
epoch: 146, train_Loss: 1.4172, train_acc: 0.2538
****************************A06 第 147 轮训练开始****************************
epoch: 147, train_Loss: 1.3142, train_acc: 0.2577
****************************A06 第 148 轮训练开始****************************
epoch: 148, train_Loss: 1.4798, train_acc: 0.2577
****************************A06 第 149 轮训练开始****************************
epoch: 149, train_Loss: 1.3613, train_acc: 0.2346
****************************A06 第 150 轮训练开始****************************
epoch: 150, train_Loss: 1.3768, train_acc: 0.2423
****************************A06 第 151 轮训练开始****************************
epoch: 151, train_Loss: 1.3879, train_acc: 0.2423
****************************A06 第 152 轮训练开始****************************
epoch: 152, train_Loss: 1.4114, train_acc: 0.2423
****************************A06 第 153 轮训练开始****************************
epoch: 153, train_Loss: 1.4145, train_acc: 0.2808
****************************A06 第 154 轮训练开始****************************
epoch: 154, train_Loss: 1.3916, train_acc: 0.2462
****************************A06 第 155 轮训练开始****************************
epoch: 155, train_Loss: 1.4445, train_acc: 0.2577
****************************A06 第 156 轮训练开始****************************
epoch: 156, train_Loss: 1.3688, train_acc: 0.2654
****************************A06 第 157 轮训练开始****************************
epoch: 157, train_Loss: 1.3404, train_acc: 0.2654
****************************A06 第 158 轮训练开始****************************
epoch: 158, train_Loss: 1.3562, train_acc: 0.2654
****************************A06 第 159 轮训练开始****************************
epoch: 159, train_Loss: 1.4502, train_acc: 0.2538
****************************A06 第 160 轮训练开始****************************
epoch: 160, train_Loss: 1.4160, train_acc: 0.2615
****************************A06 第 161 轮训练开始****************************
epoch: 161, train_Loss: 1.3424, train_acc: 0.2692
****************************A06 第 162 轮训练开始****************************
epoch: 162, train_Loss: 1.3608, train_acc: 0.2423
****************************A06 第 163 轮训练开始****************************
epoch: 163, train_Loss: 1.3075, train_acc: 0.2615
****************************A06 第 164 轮训练开始****************************
epoch: 164, train_Loss: 1.2563, train_acc: 0.2500
****************************A06 第 165 轮训练开始****************************
epoch: 165, train_Loss: 1.3059, train_acc: 0.2500
****************************A06 第 166 轮训练开始****************************
epoch: 166, train_Loss: 1.4168, train_acc: 0.2500
****************************A06 第 167 轮训练开始****************************
epoch: 167, train_Loss: 1.3110, train_acc: 0.2500
****************************A06 第 168 轮训练开始****************************
epoch: 168, train_Loss: 1.3673, train_acc: 0.2538
****************************A06 第 169 轮训练开始****************************
epoch: 169, train_Loss: 1.3126, train_acc: 0.2423
****************************A06 第 170 轮训练开始****************************
epoch: 170, train_Loss: 1.4633, train_acc: 0.2500
****************************A06 第 171 轮训练开始****************************
epoch: 171, train_Loss: 1.4145, train_acc: 0.2462
****************************A06 第 172 轮训练开始****************************
epoch: 172, train_Loss: 1.4039, train_acc: 0.3038
****************************A06 第 173 轮训练开始****************************
epoch: 173, train_Loss: 1.4216, train_acc: 0.2385
****************************A06 第 174 轮训练开始****************************
epoch: 174, train_Loss: 1.4372, train_acc: 0.2423
****************************A06 第 175 轮训练开始****************************
epoch: 175, train_Loss: 1.4841, train_acc: 0.2385
****************************A06 第 176 轮训练开始****************************
epoch: 176, train_Loss: 1.3708, train_acc: 0.2615
****************************A06 第 177 轮训练开始****************************
epoch: 177, train_Loss: 1.3974, train_acc: 0.2615
****************************A06 第 178 轮训练开始****************************
epoch: 178, train_Loss: 1.4050, train_acc: 0.2577
****************************A06 第 179 轮训练开始****************************
epoch: 179, train_Loss: 1.3870, train_acc: 0.2615
****************************A06 第 180 轮训练开始****************************
epoch: 180, train_Loss: 1.4013, train_acc: 0.2654
****************************A06 第 181 轮训练开始****************************
epoch: 181, train_Loss: 1.3702, train_acc: 0.2500
****************************A06 第 182 轮训练开始****************************
epoch: 182, train_Loss: 1.3600, train_acc: 0.2577
****************************A06 第 183 轮训练开始****************************
epoch: 183, train_Loss: 1.3856, train_acc: 0.2462
****************************A06 第 184 轮训练开始****************************
epoch: 184, train_Loss: 1.5306, train_acc: 0.2538
****************************A06 第 185 轮训练开始****************************
epoch: 185, train_Loss: 1.3209, train_acc: 0.2538
****************************A06 第 186 轮训练开始****************************
epoch: 186, train_Loss: 1.3083, train_acc: 0.2577
****************************A06 第 187 轮训练开始****************************
epoch: 187, train_Loss: 1.3072, train_acc: 0.2577
****************************A06 第 188 轮训练开始****************************
epoch: 188, train_Loss: 1.5039, train_acc: 0.2500
****************************A06 第 189 轮训练开始****************************
epoch: 189, train_Loss: 1.3688, train_acc: 0.2423
****************************A06 第 190 轮训练开始****************************
epoch: 190, train_Loss: 1.4310, train_acc: 0.2577
****************************A06 第 191 轮训练开始****************************
epoch: 191, train_Loss: 1.3319, train_acc: 0.2462
****************************A06 第 192 轮训练开始****************************
epoch: 192, train_Loss: 1.2829, train_acc: 0.2500
****************************A06 第 193 轮训练开始****************************
epoch: 193, train_Loss: 1.3574, train_acc: 0.2500
****************************A06 第 194 轮训练开始****************************
epoch: 194, train_Loss: 1.3708, train_acc: 0.2500
****************************A06 第 195 轮训练开始****************************
epoch: 195, train_Loss: 1.5264, train_acc: 0.2500
****************************A06 第 196 轮训练开始****************************
epoch: 196, train_Loss: 1.3889, train_acc: 0.2500
****************************A06 第 197 轮训练开始****************************
epoch: 197, train_Loss: 1.3573, train_acc: 0.2115
****************************A06 第 198 轮训练开始****************************
epoch: 198, train_Loss: 1.3875, train_acc: 0.2423
****************************A06 第 199 轮训练开始****************************
epoch: 199, train_Loss: 1.3707, train_acc: 0.2423
****************************A06 第 200 轮训练开始****************************
epoch: 200, train_Loss: 1.3718, train_acc: 0.2462
****************************A06 第 201 轮训练开始****************************
epoch: 201, train_Loss: 1.3883, train_acc: 0.2423
****************************A06 第 202 轮训练开始****************************
epoch: 202, train_Loss: 1.3755, train_acc: 0.2500
****************************A06 第 203 轮训练开始****************************
epoch: 203, train_Loss: 1.4183, train_acc: 0.2423
****************************A06 第 204 轮训练开始****************************
epoch: 204, train_Loss: 1.3903, train_acc: 0.2654
****************************A06 第 205 轮训练开始****************************
epoch: 205, train_Loss: 1.4790, train_acc: 0.2538
****************************A06 第 206 轮训练开始****************************
epoch: 206, train_Loss: 1.4349, train_acc: 0.2615
****************************A06 第 207 轮训练开始****************************
epoch: 207, train_Loss: 1.3770, train_acc: 0.2615
****************************A06 第 208 轮训练开始****************************
epoch: 208, train_Loss: 1.3896, train_acc: 0.2654
****************************A06 第 209 轮训练开始****************************
epoch: 209, train_Loss: 1.3516, train_acc: 0.2500
****************************A06 第 210 轮训练开始****************************
epoch: 210, train_Loss: 1.4419, train_acc: 0.2500
****************************A06 第 211 轮训练开始****************************
epoch: 211, train_Loss: 1.4114, train_acc: 0.2500
****************************A06 第 212 轮训练开始****************************
epoch: 212, train_Loss: 1.3516, train_acc: 0.2423
****************************A06 第 213 轮训练开始****************************
epoch: 213, train_Loss: 1.3767, train_acc: 0.2423
****************************A06 第 214 轮训练开始****************************
epoch: 214, train_Loss: 1.4770, train_acc: 0.2423
****************************A06 第 215 轮训练开始****************************
epoch: 215, train_Loss: 1.4152, train_acc: 0.2423
****************************A06 第 216 轮训练开始****************************
epoch: 216, train_Loss: 1.3887, train_acc: 0.2423
****************************A06 第 217 轮训练开始****************************
epoch: 217, train_Loss: 1.3894, train_acc: 0.2500
